STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
ACAR,ACAPULCO RENACIMIENTO,16.888789,-99.835027,seismic,Stations_UNAM,ALUVIAL,0.035697,0.170436,0.032399,0.015386,0.0,0.0,0.0,0.0,0.03276,0.16309,0.02141,0.007687,0.035697,0.170436,0.032399,0.010185,0.029735,0.045042,0.011906,0.015386,,,,,,,,
ACP2,ACAPULCO PREPARATORIA No. 2,16.874294,-99.886505,seismic,Stations_UNAM,ROCA,0.035366,0.07973,0.024192,0.008637,0.0,0.0,0.0,0.0,0.035366,0.07973,0.022706,0.006149,0.03229,0.067118,0.024192,0.008585,0.017721,0.028058,0.013288,0.008637,,,,,,,,
OXLC,LAS CANTERAS,17.065039,-96.703157,seismic,Stations_UNAM,ROCA  CANTERA,0.022515,0.090107,0.036317,0.048855,0.0,0.0,0.0,0.0,0.022515,0.074342,0.027008,0.019729,0.02175,0.090107,0.036317,0.048855,0.012047,0.043698,0.014545,0.01568,,,,,,,,
OCLL,OCOTILLO,17.036585,-99.878515,seismic,Stations_UNAM,ROCA,0.021312,0.039847,0.018377,0.013739,0.0,0.0,0.0,0.0,0.018144,0.027326,0.018377,0.006168,0.016861,0.039847,0.017301,0.010302,0.021312,0.018526,0.01638,0.013739,,,,,,,,
AGCA,AGUACALIENTE,16.83733,-99.64526,seismic,Stations_UNAM,ROCA,0.020681,0.036959,0.017839,0.012855,0.0,0.0,0.0,0.0,0.020681,0.031668,0.017839,0.012855,0.017964,0.036959,0.013829,0.010049,0.018568,0.021674,0.011283,0.007538,,,,,,,,
ATYC,ATOYAC,17.213361,-100.432269,seismic,Stations_UNAM,ROCA,0.018676,0.030422,0.017056,0.009122,0.0,0.0,0.0,0.0,0.01442,0.030422,0.017056,0.008755,0.018676,0.020666,0.013455,0.007632,0.01669,0.022815,0.010838,0.009122,,,,,,,,
COYC,COYUCA,16.997788,-100.089963,seismic,Stations_UNAM,ROCA,0.018358,0.023064,0.010871,0.00959,0.0,0.0,0.0,0.0,0.01685,0.023064,0.010871,0.006727,0.018358,0.017075,0.007955,0.00959,0.011007,0.013429,0.009929,0.009458,,,,,,,,
SNJE,SAN JERONIMO,18.535047,-101.323693,seismic,Stations_UNAM,ROCA,0.018144,0.032013,0.013127,0.010616,0.0,0.0,0.0,0.0,0.018144,0.032013,0.013003,0.010616,0.016985,0.024526,0.013127,0.005024,0.011602,0.028239,0.012643,0.006827,,,,,,,,
OXBJ,ESCUELA PRIMARIA BENITO JUAREZ,17.067337,-96.723804,seismic,Stations_UNAM,ROCA,0.018105,0.054482,0.025819,0.025904,0.0,0.0,0.0,0.0,0.017228,0.050834,0.017963,0.014213,0.018105,0.054482,0.025819,0.025904,0.013792,0.034701,0.014617,0.01253,,,,,,,,
JAMI,JAMILTEPEC,16.284353,-97.820692,seismic,Stations_UNAM,ROCA,0.017442,0.017405,0.013562,0.010949,0.0,0.0,0.0,0.0,0.017442,0.017405,0.013016,0.008831,0.013428,0.015055,0.013562,0.010949,0.014608,0.016977,0.013434,0.006441,,,,,,,,
SODO,SOLEDAD DE DOBLADO,19.044324,-96.414773,seismic,Stations_UNAM,ALUVIAL,0.016832,0.034556,0.033682,0.024437,0.0,0.0,0.0,0.0,0.013987,0.029775,0.033682,0.022059,0.016832,0.034556,0.031403,0.024437,0.012257,0.028855,0.026429,0.016364,,,,,,,,
