custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
t_9132,-99.11652,20.28494,769.0,False,38.73831,0.59871
t_9133,-99.55548,19.92993,463.0,False,275.23425,1.06977
t_9134,-99.6034,19.93069,458.0,False,281.66001,1.08314
t_9135,-99.65132,19.93144,341.0,False,422.33904,1.5179
t_9136,-99.69924,19.93218,297.0,False,461.07554,1.77779
t_9137,-99.74716,19.9329,261.0,False,484.66406,2.06099
t_9138,-99.79508,19.9336,405.0,False,349.51564,1.24677
t_9139,-99.843,19.93429,524.0,False,200.67071,0.92854
t_9140,-99.45879,19.97367,308.0,False,452.40309,1.70534
t_9141,-99.50673,19.97446,341.0,False,422.33904,1.5179
t_9142,-99.55466,19.97524,475.0,False,259.92803,1.03891
t_9143,-99.6026,19.97601,368.0,False,393.60059,1.39118
t_9144,-99.65053,19.97676,460.0,False,279.0871,1.07775
t_9145,-99.69847,19.97749,290.0,False,466.23506,1.82697
t_9146,-99.74641,19.97821,320.0,False,442.1613,1.63238
t_9147,-99.79434,19.97892,574.0,False,148.7101,0.8366
t_9148,-99.84228,19.97961,563.0,False,159.26361,0.85533
t_9149,-99.45794,20.01899,544.0,False,178.68565,0.88959
t_9150,-99.50589,20.01978,507.0,False,220.47121,0.96424
t_9151,-99.55384,20.02057,476.0,False,258.6619,1.03641
t_9152,-99.6018,20.02133,516.0,False,209.87049,0.94502
t_9153,-99.64975,20.02208,374.0,False,386.77598,1.36568
t_9154,-99.6977,20.02282,319.0,False,443.04555,1.63824
t_9155,-99.74565,20.02354,295.0,False,462.57823,1.79158
t_9156,-99.79361,20.02424,369.0,False,392.4733,1.38687
t_9157,-99.84156,20.02493,444.0,False,299.72871,1.1223
t_9158,-99.45709,20.06431,377.0,False,383.31051,1.35325
t_9159,-99.50506,20.06511,382.0,False,377.46027,1.33301
t_9160,-99.55303,20.06589,399.0,False,356.9498,1.26824
t_9161,-99.60099,20.06665,543.0,False,179.74849,0.89146
t_9162,-99.64896,20.0674,310.0,False,450.75239,1.69276
t_9163,-99.69693,20.06814,438.0,False,307.47889,1.1399
t_9164,-99.7449,20.06886,463.0,False,275.23425,1.06977
t_9165,-99.79287,20.06956,392.0,False,365.50236,1.29418
t_9166,-99.84084,20.07025,621.0,False,109.47165,0.76457
t_9167,-99.45624,20.10963,472.0,False,263.736,1.04646
t_9168,-99.50422,20.11043,381.0,False,378.63755,1.33701
t_9169,-99.55221,20.11121,577.0,False,145.92172,0.83163
t_9170,-99.60019,20.11198,426.0,False,322.92445,1.17671
t_9171,-99.64817,20.11273,749.0,False,44.67949,0.61703
t_9172,-99.69616,20.11346,489.0,False,242.37218,1.00495
t_9173,-99.74414,20.11418,380.0,False,379.81126,1.34104
t_9174,-99.79213,20.11489,376.0,False,384.46948,1.35737
t_9175,-99.84012,20.11558,355.0,False,407.86236,1.44961
t_9176,-99.45539,20.15496,850.0,False,21.84357,0.5339
t_9177,-99.50339,20.15576,336.0,False,427.27108,1.54377
t_9178,-99.55139,20.15654,370.0,False,391.34189,1.38258
t_9179,-99.59939,20.1573,477.0,False,257.39744,1.03392
t_9180,-99.64739,20.15806,572.0,False,150.5905,0.83995
t_9181,-99.69539,20.15879,397.0,False,359.40737,1.27555
t_9182,-99.74339,20.15951,440.0,False,304.89644,1.13398
t_9183,-99.79139,20.16022,437.0,False,308.76955,1.14289
t_9184,-99.83939,20.16091,431.0,False,316.5021,1.16111
t_9185,-99.45454,20.20029,745.0,False,45.97311,0.62082
t_9186,-99.50255,20.20108,431.0,False,316.5021,1.16111
t_9187,-99.55057,20.20187,481.0,False,252.35736,1.02409
t_9188,-99.59858,20.20263,308.0,False,452.40309,1.70534
t_9189,-99.6466,20.20338,518.0,False,207.55018,0.94085
